iShares S&P 100 ETF,,,,,,,,,,,
Inception Date,"Oct 23, 2000",,,,,,,,,,
Fund Holdings as of,"Sep 29, 2017",,,,,,,,,,
Total Net Assets,"4,888,447,512.89",,,,,,,,,,
Shares Outstanding,"43,900,000.00",,,,,,,,,,
Stock,-,,,,,,,,,,
Bond,-,,,,,,,,,,
Cash,-,,,,,,,,,,
Other,-,,,,,,,,,,
 ,,,,,,,,,,,
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
COP,CONOCOPHILLIPS,Equity,0.45,50.05,"433,765.00","21,709,938.25","21,709,938.25",Energy,2685717,US20825C1045,New York Stock Exchange Inc.
DUK,DUKE ENERGY CORP,Equity,0.43,83.92,"249,463.00","20,934,934.96","20,934,934.96",Utilities,B7VD3F2,US26441C2044,New York Stock Exchange Inc.
GD,GENERAL DYNAMICS CORP,Equity,0.42,205.58,"99,266.00","20,407,104.28","20,407,104.28",Industrials,2365161,US3695501086,New York Stock Exchange Inc.
FDX,FEDEX CORP,Equity,0.41,225.58,"87,966.00","19,843,370.28","19,843,370.28",Industrials,2142784,US31428X1063,New York Stock Exchange Inc.
AIG,AMERICAN INTERNATIONAL GROUP INC,Equity,0.41,61.39,"322,006.00","19,767,948.34","19,767,948.34",Financials,2027342,US0268747849,New York Stock Exchange Inc.
BLK,BLACKROCK INC,Equity,0.41,447.09,"44,179.00","19,751,989.11","19,751,989.11",Financials,2494504,US09247X1019,New York Stock Exchange Inc.
MET,METLIFE INC,Equity,0.4,51.95,"378,846.00","19,681,049.70","19,681,049.70",Financials,2573209,US59156R1086,New York Stock Exchange Inc.
BK,BANK OF NEW YORK MELLON CORP,Equity,0.4,53.02,"368,254.00","19,524,827.08","19,524,827.08",Financials,B1Z77F6,US0640581007,New York Stock Exchange Inc.
RTN,RAYTHEON,Equity,0.4,186.58,"103,452.00","19,302,074.16","19,302,074.16",Industrials,2758051,US7551115071,New York Stock Exchange Inc.
GM,GENERAL MOTORS,Equity,0.39,40.38,"467,466.00","18,876,277.08","18,876,277.08",Consumer Discretionary,B665KZ5,US37045V1008,New York Stock Exchange Inc.
MON,MONSANTO,Equity,0.39,119.82,"156,594.00","18,763,093.08","18,763,093.08",Materials,2654320,US61166W1018,New York Stock Exchange Inc.
DHR,DANAHER CORP,Equity,0.38,85.78,"217,897.00","18,691,204.66","18,691,204.66",Health Care,2250870,US2358511028,New York Stock Exchange Inc.
SPG,SIMON PROPERTY GROUP REIT INC,Equity,0.37,161.01,"110,793.00","17,838,780.93","17,838,780.93",Real Estate,2812452,US8288061091,New York Stock Exchange Inc.
SO,SOUTHERN,Equity,0.36,49.14,"356,250.00","17,506,125.00","17,506,125.00",Utilities,2829601,US8425871071,New York Stock Exchange Inc.
OXY,OCCIDENTAL PETROLEUM CORP,Equity,0.36,64.21,"272,527.00","17,498,958.67","17,498,958.67",Energy,2655408,US6745991058,New York Stock Exchange Inc.
F,F MOTOR,Equity,0.34,11.97,"1,394,073.00","16,687,053.81","16,687,053.81",Consumer Discretionary,2615468,US3453708600,New York Stock Exchange Inc.
KHC,KRAFT HEINZ,Equity,0.34,77.55,"212,771.00","16,500,391.05","16,500,391.05",Consumer Staples,BYRY499,US5007541064,NASDAQ
COF,CAPITAL ONE FINANCIAL CORP,Equity,0.3,84.66,"172,410.00","14,596,230.60","14,596,230.60",Financials,2654461,US14040H1059,New York Stock Exchange Inc.
EMR,EMERSON ELECTRIC,Equity,0.29,62.84,"228,129.00","14,335,626.36","14,335,626.36",Industrials,2313405,US2910111044,New York Stock Exchange Inc.
HAL,HALLIBURTON,Equity,0.29,46.03,"309,343.00","14,239,058.29","14,239,058.29",Energy,2405302,US4062161017,New York Stock Exchange Inc.
KMI,KINDER MORGAN INC,Equity,0.27,19.18,"684,323.00","13,125,315.14","13,125,315.14",Energy,B3NQ4P8,US49456B1017,New York Stock Exchange Inc.
EXC,EXELON CORP,Equity,0.27,37.67,"342,211.00","12,891,088.37","12,891,088.37",Utilities,2670519,US30161N1019,New York Stock Exchange Inc.
ALL,ALLSTATE CORP,Equity,0.24,91.91,"128,799.00","11,837,916.09","11,837,916.09",Financials,2019952,US0200021014,New York Stock Exchange Inc.
TGT,TARGET CORP,Equity,0.24,59.01,"194,680.00","11,488,066.80","11,488,066.80",Consumer Discretionary,2259101,US87612E1064,New York Stock Exchange Inc.
FOXA,TWENTY FIRST CENTURY FOX INC CLASS,Equity,0.2,26.38,"375,067.00","9,894,267.46","9,894,267.46",Consumer Discretionary,BBM4S68,US90130A1016,NASDAQ
BLKFDS,BLK CSH FND TREASURY SL AGENCY,Money Market,0.13,1,"6,340,216.00","6,340,215.54","6,340,215.54",Cash and/or Derivatives,-,US0669224778,-
FOX,TWENTY-FIRST CENTURY FOX INC CLASS,Equity,0.08,25.79,"157,335.00","4,057,669.65","4,057,669.65",Consumer Discretionary,BBM4S80,US90130A2006,NASDAQ
USD,USD CASH,Cash,0.07,100,"3,457,520.00","3,457,520.02","3,457,520.02",Cash and/or Derivatives,-,-,-
MSFUT,CASH COLLATERAL MSFUT USD,Cash Collateral and Margins,0.01,100,"350,640.00","350,640.00","350,640.00",Cash and/or Derivatives,-,-,-
ESZ7,S&P500 EMINI DEC 17,Futures,0,"2,516.10",70,0,"8,806,350.00",Cash and/or Derivatives,-,-,Index And Options Market
 ,,,,,,,,,,,
