As Of,Index Level,NAV per Share,Ex-Dividends,Shares Outstanding
"Jun 07, 2017","2,112.79",107.92,--,"43,900,000.00"
"Jun 06, 2017","2,108.97",107.73,--,"44,050,000.00"
"Jun 05, 2017","2,113.66",107.97,--,"44,050,000.00"
"Jun 02, 2017","2,114.35",108.00,--,"44,050,000.00"
"Jun 01, 2017","2,105.25",107.54,--,"44,050,000.00"
"May 31, 2017","2,091.59",106.84,--,"44,050,000.00"
"May 30, 2017","2,093.93",106.96,--,"44,150,000.00"
"May 26, 2017","2,095.66",107.05,--,"44,350,000.00"
"May 25, 2017","2,094.56",107.00,--,"44,350,000.00"
"May 24, 2017","2,085.92",106.56,--,"44,350,000.00"
"May 23, 2017","2,081.54",106.33,--,"44,500,000.00"
"May 22, 2017","2,075.63",106.03,--,"44,550,000.00"
"May 19, 2017","2,066.33",105.56,--,"44,550,000.00"
"May 18, 2017","2,053.84",104.92,--,"44,550,000.00"
"May 17, 2017","2,046.44",104.54,--,"44,600,000.00"
"May 16, 2017","2,085.16",106.52,--,"45,400,000.00"
"May 15, 2017","2,084.86",106.51,--,"45,400,000.00"
"May 12, 2017","2,076.50",106.08,--,"45,400,000.00"
"May 11, 2017","2,077.33",106.13,--,"45,400,000.00"
"May 10, 2017","2,080.00",106.26,--,"45,250,000.00"
"May 09, 2017","2,081.84",106.36,--,"45,350,000.00"
"May 08, 2017","2,085.84",106.56,--,"45,300,000.00"
"May 05, 2017","2,082.81",106.41,--,"45,450,000.00"
"May 04, 2017","2,077.24",106.13,--,"45,450,000.00"
"May 03, 2017","2,076.96",106.11,--,"45,500,000.00"
"May 02, 2017","2,076.39",106.08,--,"45,450,000.00"
"May 01, 2017","2,074.52",105.99,--,"45,250,000.00"
"Apr 28, 2017","2,069.70",105.75,--,"45,250,000.00"
"Apr 27, 2017","2,070.49",105.79,--,"45,150,000.00"
"Apr 26, 2017","2,068.54",105.69,--,"45,400,000.00"
"Apr 25, 2017","2,070.51",105.77,--,"45,050,000.00"
"Apr 24, 2017","2,057.03",105.08,--,"45,050,000.00"
"Apr 21, 2017","2,034.49",103.94,--,"45,250,000.00"
"Apr 20, 2017","2,041.14",104.28,--,"45,000,000.00"
"Apr 19, 2017","2,027.11",103.56,--,"44,750,000.00"
"Apr 18, 2017","2,032.93",103.86,--,"44,800,000.00"
"Apr 17, 2017","2,037.97",104.11,--,"44,700,000.00"
"Apr 13, 2017","2,020.81",103.24,--,"44,400,000.00"
"Apr 12, 2017","2,035.40",103.98,--,"44,400,000.00"
"Apr 11, 2017","2,040.39",104.24,--,"44,450,000.00"
"Apr 10, 2017","2,044.63",104.46,--,"44,200,000.00"
"Apr 07, 2017","2,044.42",104.45,--,"44,200,000.00"
"Apr 06, 2017","2,046.35",104.55,--,"44,200,000.00"
"Apr 05, 2017","2,045.57",104.51,--,"44,200,000.00"
"Apr 04, 2017","2,052.18",104.85,--,"44,100,000.00"
"Apr 03, 2017","2,048.38",104.65,--,"44,050,000.00"
"Mar 31, 2017","2,049.29",104.70,--,"44,100,000.00"
"Mar 30, 2017","2,055.40",105.01,--,"44,100,000.00"
"Mar 29, 2017","2,048.55",104.66,--,"44,200,000.00"
"Mar 28, 2017","2,047.67",104.62,--,"44,150,000.00"
"Mar 27, 2017","2,033.46",103.89,--,"44,150,000.00"
"Mar 24, 2017","2,035.40",104.00,0.50,"44,300,000.00"
"Mar 23, 2017","2,038.13",104.63,--,"44,300,000.00"
"Mar 22, 2017","2,041.58",104.81,--,"44,250,000.00"
"Mar 21, 2017","2,039.57",104.71,--,"44,150,000.00"
"Mar 20, 2017","2,063.17",105.92,--,"44,150,000.00"
"Mar 17, 2017","2,066.90",106.11,--,"44,150,000.00"
"Mar 16, 2017","2,071.76",106.36,--,"44,150,000.00"
"Mar 15, 2017","2,073.29",106.44,--,"44,150,000.00"
"Mar 14, 2017","2,059.24",105.72,--,"43,500,000.00"
"Mar 13, 2017","2,064.59",106.00,--,"43,500,000.00"
"Mar 10, 2017","2,065.44",106.04,--,"43,500,000.00"
"Mar 09, 2017","2,059.55",105.74,--,"43,500,000.00"
"Mar 08, 2017","2,056.02",105.56,--,"43,500,000.00"
"Mar 07, 2017","2,058.97",105.71,--,"43,550,000.00"
"Mar 06, 2017","2,062.87",105.91,--,"43,550,000.00"
"Mar 03, 2017","2,068.41",106.20,--,"43,550,000.00"
"Mar 02, 2017","2,066.99",106.13,--,"43,600,000.00"
"Mar 01, 2017","2,076.87",106.63,--,"43,600,000.00"
"Feb 28, 2017","2,047.85",105.14,--,"43,650,000.00"
